GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021800045,583,1628960,Grayson Allen,1610612762,Utah Jazz,4,5,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,14,1,1,20181022,UTA,MEM
Shot Chart Detail,0021800045,633,1628960,Grayson Allen,1610612762,Utah Jazz,4,1,20,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,1,20181022,UTA,MEM
Shot Chart Detail,0021800075,745,1628960,Grayson Allen,1610612762,Utah Jazz,4,0,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,25,1,1,20181027,NOP,UTA
Shot Chart Detail,0021800084,180,1628960,Grayson Allen,1610612762,Utah Jazz,2,9,53,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20181028,DAL,UTA
Shot Chart Detail,0021800084,203,1628960,Grayson Allen,1610612762,Utah Jazz,2,8,42,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-106,44,1,1,20181028,DAL,UTA
Shot Chart Detail,0021800084,505,1628960,Grayson Allen,1610612762,Utah Jazz,4,9,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,147,204,1,1,20181028,DAL,UTA
Shot Chart Detail,0021800122,33,1628960,Grayson Allen,1610612762,Utah Jazz,1,8,27,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,1,20181102,UTA,MEM
Shot Chart Detail,0021800122,406,1628960,Grayson Allen,1610612762,Utah Jazz,3,8,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-131,210,1,1,20181102,UTA,MEM
Shot Chart Detail,0021800122,631,1628960,Grayson Allen,1610612762,Utah Jazz,4,3,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,122,1,1,20181102,UTA,MEM
Shot Chart Detail,0021800146,659,1628960,Grayson Allen,1610612762,Utah Jazz,4,3,17,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,19,1,1,20181105,UTA,TOR
Shot Chart Detail,0021800146,667,1628960,Grayson Allen,1610612762,Utah Jazz,4,2,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-116,220,1,1,20181105,UTA,TOR
Shot Chart Detail,0021800146,689,1628960,Grayson Allen,1610612762,Utah Jazz,4,0,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,-5,1,1,20181105,UTA,TOR
Shot Chart Detail,0021800210,181,1628960,Grayson Allen,1610612762,Utah Jazz,2,9,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-164,215,1,1,20181114,DAL,UTA
Shot Chart Detail,0021800210,638,1628960,Grayson Allen,1610612762,Utah Jazz,4,1,18,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,25,109,1,1,20181114,DAL,UTA
Shot Chart Detail,0021800241,591,1628960,Grayson Allen,1610612762,Utah Jazz,4,3,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-118,258,1,1,20181119,IND,UTA
Shot Chart Detail,0021800241,614,1628960,Grayson Allen,1610612762,Utah Jazz,4,2,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,1,20181119,IND,UTA
Shot Chart Detail,0021800292,287,1628960,Grayson Allen,1610612762,Utah Jazz,2,4,34,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-2,1,1,20181125,SAC,UTA
